"945e5ff","Maurizio Cucchiara","2011-10-25 15:00:39 +0000","Change exception docs"
"c184917","Maurizio Cucchiara","2011-10-25 14:58:13 +0000","Fixed checkstyle warning (added missing spaces, missing default case, etc.)"
"33ed181","Maurizio Cucchiara","2011-10-25 14:55:15 +0000","Downgraded useless public scope"
"31c4731","Maurizio Cucchiara","2011-10-25 14:53:43 +0000","Fixed checkstyle warning (added magic numbers)"
"db8329b","Maurizio Cucchiara","2011-10-25 14:50:55 +0000","Added missing space between parenthesis"
"a53001c","Maurizio Cucchiara","2011-10-25 14:41:23 +0000","Removed useless initializations"
"bafbdb6","Maurizio Cucchiara","2011-10-25 14:37:46 +0000","Fixed checkstyle warning"
"e91b29c","Simone Tripodi","2011-10-25 13:54:05 +0000","updated checkstyle plugin version"
"d7b38f3","Simone Tripodi","2011-10-25 08:54:44 +0000","benchmark graphs generated to the site dir and linked in the main menu"
"766d798","Simone Tripodi","2011-10-25 08:29:18 +0000","bechmarks active by default, they can be skipped using -DskipBenchmarks=true"
"630ec16","Simone Tripodi","2011-10-25 08:26:35 +0000","just write the benchmarks log directly in the target dir (it's just one XML file)"
"e6735f6","Simone Tripodi","2011-10-24 20:11:24 +0000","benchmark dir treated as a source dir"
"17ea235","Simone Tripodi","2011-10-24 19:45:29 +0000","no needs to have a full maven archetype inside benchmark dir, merged java source dirs"
"6933e93","Simone Tripodi","2011-10-24 19:38:38 +0000","managed the surefire-plugin"
"4e5a9ac","Simone Tripodi","2011-10-24 19:34:42 +0000","removed no more used files"
"7702923","Simone Tripodi","2011-10-24 19:33:13 +0000","benchmarks now integrated in the current pom there are some failures, so the profile is not active by default (and doesn't break the build)"
"95c7b23","Simone Tripodi","2011-10-24 19:00:07 +0000","start to merge the benchmarks in the proper codebase"
"9dc15ec","Maurizio Cucchiara","2011-10-23 23:54:49 +0000","Fixed incompatible types issue"
"722d2df","Maurizio Cucchiara","2011-10-23 23:45:49 +0000","Removed useless public keyword from interface"
"4ed0aa6","Maurizio Cucchiara","2011-10-23 23:42:20 +0000","Attempt to solve jenkins build failure"
"d9e3ad7","Maurizio Cucchiara","2011-10-23 23:15:45 +0000","Added OGNL-22 in the issue list"
"47ca664","Maurizio Cucchiara","2011-10-23 23:13:37 +0000","Added OGNL-20 in the issue list"
"ac73f7e","Maurizio Cucchiara","2011-10-23 23:10:24 +0000","Merged branch back to trunk. Merge includes patches from: OGNL-20 - Performance - Replace synchronized blocks with ReentrantReadWriteLock"
"4566fc7","Simone Tripodi","2011-10-23 16:00:44 +0000","added Adrian Cumiskey in the contributors list"
"9300613","Simone Tripodi","2011-10-23 11:35:10 +0000","[OGNL-23] Class.forName() usage is malicious inside OSGi (contributed by Adrian Cumiskey)"
"98651c3","Maurizio Cucchiara","2011-10-22 17:48:14 +0000","Inline variable"
"b9b4a41","Maurizio Cucchiara","2011-10-22 01:38:37 +0000","Better interface where possible"
"f7d9c45","Maurizio Cucchiara","2011-10-22 01:01:17 +0000","Primitive default doesn't need ClassCache implementation"
"ede420e","Maurizio Cucchiara","2011-10-21 23:53:13 +0000","Added copyright"
"8efa2d8","Maurizio Cucchiara","2011-10-21 23:51:46 +0000","Added svn properties"
"01cc23f","Maurizio Cucchiara","2011-10-21 23:50:14 +0000","Added svn properties"
"658775e","Maurizio Cucchiara","2011-10-21 23:48:40 +0000","ReentrantReadWriteLock CacheFactory"
"1adb6c6","Maurizio Cucchiara","2011-10-21 23:48:15 +0000","HashMap CacheFactory"
"f5c1093","Maurizio Cucchiara","2011-10-21 23:41:02 +0000","Added CacheFactory and his setter"
"565e75a","Maurizio Cucchiara","2011-10-21 23:40:20 +0000","Corrected test"
"d015467","Maurizio Cucchiara","2011-10-20 16:09:20 +0000","Update svn property and license header"
"71abec4","Maurizio Cucchiara","2011-10-20 15:54:40 +0000","New ReentrantReadWriteLock Cache"
"d07e3b0","Maurizio Cucchiara","2011-10-20 15:48:55 +0000","make uniform the name convention of the cache"
"2442560","Maurizio Cucchiara","2011-10-20 15:44:41 +0000","make uniform the name convention of the cache"
"0a0a9cf","Maurizio Cucchiara","2011-10-20 15:36:48 +0000","New HashMap Class Cache"
"10a3934","Maurizio Cucchiara","2011-10-20 15:36:22 +0000","New HashMap Cache"
"3e69b2c","Maurizio Cucchiara","2011-10-20 15:31:10 +0000","Use cacheFactory"
"d99f167","Maurizio Cucchiara","2011-10-20 15:29:54 +0000","Removed useless castes"
"5101c38","Christian Grobmeier","2011-10-17 06:38:21 +0000","reverted OGNL-11 renaming is at conflicts with generated code"
"453cfa9","Simone Tripodi","2011-10-17 06:12:08 +0000","added fair credit to Daniel Pitts"
"7980e56","Simone Tripodi","2011-10-17 06:11:24 +0000","removed duplicates"
"118bf06","Christian Grobmeier","2011-10-17 06:08:58 +0000","OGNL-11: fixed checkstyle errors"
"2d32c3b","Maurizio Cucchiara","2011-10-17 00:28:59 +0000","code reformatted"
"b15468c","Maurizio Cucchiara","2011-10-17 00:27:55 +0000","added OGNL-28 issue"
"e08c8bc","Maurizio Cucchiara","2011-10-17 00:26:34 +0000","OGNL-28 - Visitor pattern needs way to propagate exceptions. (contributed by Daniel Pitts)"
"8756b21","Maurizio Cucchiara","2011-10-17 00:16:18 +0000","code reformatted"
"d5d34ee","Maurizio Cucchiara","2011-10-17 00:14:45 +0000","New _methodAccessCache implementation"
"1e30880","Maurizio Cucchiara","2011-10-16 22:58:05 +0000","Allow to dynamically change securityManager implementation"
"6589342","Maurizio Cucchiara","2011-10-16 22:52:50 +0000","New MethodPermCache implementation"
"36aac97","Maurizio Cucchiara","2011-10-16 22:38:38 +0000","Downgraded exception"
"eb69033","Maurizio Cucchiara","2011-10-16 22:24:24 +0000","There is no more need of final parameter types"
"6e6ba2c","Maurizio Cucchiara","2011-10-16 22:08:05 +0000","inline variable"
"a4b65b0","Maurizio Cucchiara","2011-10-16 22:05:55 +0000","replaced comparison  with autobox"
"3e0ccea","Maurizio Cucchiara","2011-10-16 21:39:51 +0000","_ctorParameterTypesCache now use the new cache implementation"
"8f63f4e","Maurizio Cucchiara","2011-10-16 21:37:56 +0000","Added generic type"
"13c0c16","Maurizio Cucchiara","2011-10-16 21:33:35 +0000","added flyweight implementation of constructor cache"
"587adc1","Maurizio Cucchiara","2011-10-16 21:32:20 +0000","new _methodParameterTypesCache cache implementation"
"d0bd9d4","Maurizio Cucchiara","2011-10-16 21:27:18 +0000","new GenericMethodParameterType cache implementation"
"bf2fada","Maurizio Cucchiara","2011-10-16 21:11:12 +0000","Equals and HashCode method must count on type property"
"2e92b78","Simone Tripodi","2011-10-16 17:56:20 +0000","committers names replaced by ids"
"cfd198e","Simone Tripodi","2011-10-16 17:47:51 +0000","added OGNL-27 in the issue list"
"be9aeb3","Simone Tripodi","2011-10-16 17:46:36 +0000","spaces instead of tabs"
"b47a750","Simone Tripodi","2011-10-16 17:44:54 +0000","missing from r1184879 :/"
"d3aca56","Simone Tripodi","2011-10-16 17:41:29 +0000","[OGNL-27] Move toString implementations into visitor pattern. - patch contributed by Daniel Pitts"
"c5e395d","Christian Grobmeier","2011-10-16 16:08:24 +0000","OGNL-11: fixed checkstyle errors"
"1cf197e","Simone Tripodi","2011-10-16 11:03:46 +0000","fixed test javadoc warnings"
"4443e49","Maurizio Cucchiara","2011-10-16 07:59:28 +0000","Removed useless extend"
"ac7922b","Maurizio Cucchiara","2011-10-16 07:45:11 +0000","Deleted empty directory and renamed test class"
"c874d11","Maurizio Cucchiara","2011-10-16 07:39:56 +0000","Corrected typo"
"23414ab","Maurizio Cucchiara","2011-10-16 07:39:24 +0000","Removed useless matching cache future"
"fb9b050","Maurizio Cucchiara","2011-10-16 07:32:17 +0000","Cache entry and entry factory (with test)"
"07debbc","Maurizio Cucchiara","2011-10-16 07:30:57 +0000","Added abstraction layer"
"544b02d","Maurizio Cucchiara","2011-10-16 07:28:33 +0000","Slimmed cache implementation"
"636a144","Christian Grobmeier","2011-10-16 06:15:40 +0000","OGNL-11: fixed checkstyle errors"
"0402cf8","Christian Grobmeier","2011-10-15 09:41:14 +0000","OGNL-11: more fixed checkstyle errors"
"f8fd888","Christian Grobmeier","2011-10-15 08:56:58 +0000","OGNL-11: fixed checkstyle errors"
"a6e579f","Christian Grobmeier","2011-10-14 11:22:33 +0000","added changes to change file"
"7fb5e21","Christian Grobmeier","2011-10-14 07:53:33 +0000","output has already been removed before a while"
"b961a9c","Christian Grobmeier","2011-10-14 07:45:49 +0000","OGNL-21: change added"
"4625d2e","Christian Grobmeier","2011-10-14 07:44:41 +0000","OGNL-21: fixed unused imports, some dead code, unused variables"
"ff853a2","Christian Grobmeier","2011-10-14 07:41:02 +0000","OGNL-21: fixed some dead code"
"cd44c17","Christian Grobmeier","2011-10-14 07:40:32 +0000","some checkstyle"
"fb6b686","Christian Grobmeier","2011-10-14 07:40:00 +0000","OGNL-21: fixed dead code"
"510fe91","Christian Grobmeier","2011-10-14 07:14:33 +0000","OGNL-21: removed deprecated method"
"01cf1a3","Maurizio Cucchiara","2011-10-13 10:57:10 +0000","New Class Cache base implementation"
"6cd3d5d","Maurizio Cucchiara","2011-10-13 10:32:25 +0000","Removed useless castes"
"c65df65","Maurizio Cucchiara","2011-10-13 10:30:50 +0000","Added new test get method"
"1c0a276","Maurizio Cucchiara","2011-10-13 10:29:34 +0000","Removed useless object superclass"
"3e788e1","Maurizio Cucchiara","2011-10-11 17:23:05 +0000","Removed useless local _superclasses cache"
"93a73df","Maurizio Cucchiara","2011-10-11 17:19:32 +0000","* Added test getField * staticMethodCache and instanceMethodCache now have full ConcurrentClassCache suppport"
"ee6bb4b","Maurizio Cucchiara","2011-10-11 08:17:25 +0000","Adjusted property settings, updated copyright"
"94523ba","Maurizio Cucchiara","2011-10-10 15:13:25 +0000","OGNL-20 [Partial] Performance - Replace synchronized blocks with ConcurrentHashMap"
"6371c92","Maurizio Cucchiara","2011-10-10 14:49:16 +0000","New branch to improve cache performance"
"76d9464","Simone Tripodi","2011-10-09 15:34:07 +0000","upgradet junit dependency"
"dba9e16","Simone Tripodi","2011-10-09 15:30:49 +0000","removed tabs, trailing spaces, minor format"
"35cfb16","Christian Grobmeier","2011-10-09 13:17:55 +0000","OGNL-24: applied patch from Daniel Pitts to support visitor pattern - thanks!"
"656f84d","Christian Grobmeier","2011-10-09 13:04:17 +0000","added comments and explained a few options on javacc module"
"fadb025","Christian Grobmeier","2011-10-09 13:02:18 +0000","changed package, in case somebody needs to generate some default sources"
"7efbb96","Christian Grobmeier","2011-10-09 05:46:51 +0000","a test case should not print out to console"
"5ce3335","Christian Grobmeier","2011-10-09 05:44:18 +0000","cleaned up test case, removed unnecessary statements"
"6531a76","Christian Grobmeier","2011-10-08 18:54:19 +0000","OGNL-8 needs a better package name than just ognl"
"aebf47f","Christian Grobmeier","2011-10-08 18:46:13 +0000","OGNL-8: added change description"
"74ad472","Christian Grobmeier","2011-10-08 18:45:45 +0000","added Daniel Pitts as contributor (for OGNL-8) - thanks very much!"
"4be41c5","Christian Grobmeier","2011-10-08 18:39:41 +0000","OGNL-8: removed files because they are generated by the maven plugin now. Otherwise generation would be skipped"
"366833f","Christian Grobmeier","2011-10-08 18:38:47 +0000","generate parser code with mvn plugin - currently javacc is called only, next step includes jjtree generation"
"fdf6874","Christian Grobmeier","2011-10-08 18:36:16 +0000","moved to default folder"
"0e378a7","Christian Grobmeier","2011-10-08 18:34:59 +0000","moved to default folder"
"a094fe8","Christian Grobmeier","2011-10-08 18:31:02 +0000","created default folder for jjtree files"
"d2c8aa6","Christian Grobmeier","2011-10-08 18:30:07 +0000","git-svn-id: https://svn.apache.org/repos/asf/commons/proper/ognl/trunk@1180446 13f79535-47bb-0310-9956-ffa450edef68"
"acf2139","Simone Tripodi","2011-09-22 12:52:30 +0000","no more incubating release"
"405a31d","Simone Tripodi","2011-09-22 09:47:18 +0000","removed the disclaimer, OGNL already graduated to commons-proper"
"7fb72c9","Simone Tripodi","2011-09-22 09:45:39 +0000","added missing Luke Blanshard in the committers list"
"fa0b11f","Simone Tripodi","2011-09-22 09:23:48 +0000","added missing assembly plugin"
"5923586","Simone Tripodi","2011-09-22 09:20:05 +0000","upgrated junit dependency"
"18f5bf4","Simone Tripodi","2011-09-22 09:18:29 +0000","missed Upayavira when revisiting roles"
"81c2fcd","Simone Tripodi","2011-09-22 09:18:01 +0000","revisited roles, now we are in commons and no more in incubator"
